PATH;VARIABLE_NAME;RELAY_NAME;CB_PATH;TYPE_BT;TYPE_MPU;BOOLEAN;INIT_VALUE;ID_REF;X_POS_I;X_CENTER;X_POS_F;Y_POS_I;Y_CENTER;Y_POS_F
LOCATION, INTERFACE;Li_IVe1CMPhTfpR1;C_M_PH_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var67;360;400;440;2720;2740;2760
LOCATION, INTERFACE;Li_IVe1CMPhTfpR2;C_M_PH_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var68;120;160;200;2800;2820;2840
LOCATION, INTERFACE;Li_IVe1CVtPvTfpR1;C_VT_PV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var69;360;400;440;2800;2820;2840
LOCATION, INTERFACE;Li_IVe1CVtPvTfpR2;C_VT_PV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var70;120;160;200;2880;2900;2920
LOCATION, INTERFACE;Li_IVe1DjSiDfTfpR1;DJ_SI_DF_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var71;360;400;440;2880;2900;2920
LOCATION, INTERFACE;Li_IVe1DjSiDfTfpR2;DJ_SI_DF_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var72;120;160;200;2960;2980;3000
LOCATION, INTERFACE;Li_IVe1HvsQ1MtDjR1;Q1_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var73;360;400;440;2960;2980;3000
LOCATION, INTERFACE;Li_IVe1HvsQ1MtDjR2;Q1_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var74;120;160;200;3040;3060;3080
LOCATION, INTERFACE;Li_IVe1HvsQ2MtDjR1;Q2_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var75;360;400;440;3040;3060;3080
LOCATION, INTERFACE;Li_IVe1HvsQ2MtDjR2;Q2_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var76;120;160;200;3120;3140;3160
LOCATION, INTERFACE;Li_IVe1HvsQ3MtDjR1;Q3_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var77;360;400;440;3120;3140;3160
LOCATION, INTERFACE;Li_IVe1HvsQ3MtDjR2;Q3_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var78;120;160;200;3200;3220;3240
LOCATION, INTERFACE;Li_IVe1HvsQ4MtDjR1;Q4_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var79;360;400;440;3200;3220;3240
LOCATION, INTERFACE;Li_IVe1HvsQ4MtDjR2;Q4_MT_DJ;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var80;120;160;200;3280;3300;3320
